YEAR,TARGET_YEAR,OCC_CODE,OCC_TITLE,SOURCE_FILE,OCC_MAJOR,OCC_MINOR,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,LOG_TOT_EMP,LOG_A_MEAN,EMPLOYMENT_SHARE,NEXT_TOT_EMP,NEXT_A_MEAN,TARGET_LOG_TOT_EMP,TARGET_LOG_A_MEAN,DATA_SPLIT
2010,2011,11-1011,Chief Executives,converted_csv/oesm10nat/national_M2010_dl__national_dl.csv,11,11-10,273500,0.5,173350,0.3,75160,107990,165080,,,12.519060557144618,12.06307371977262,0.002151897021145083,267370,176550,12.496392486010997,12.081365065458305,train_through_2022
2011,2012,11-1011,Chief Executives,oesm11nat/national_M2011_dl.csv,11,11-10,267370,0.5,176550,0.4,75860,109320,166910,,,12.496392486010997,12.081365065458305,0.002084289096986056,255940,176840,12.452702228149695,12.083006302753414,train_through_2022
2012,2013,11-1011,Chief Executives,converted_csv/oesm12nat/national_M2012_dl__national_dl.csv,11,11-10,255940,0.6,176840,0.3,76220,109940,168140,,,12.452702228149695,12.083006302753414,0.0019644206079802726,248760,178400,12.424247875148643,12.091789104493502,train_through_2022
2013,2014,11-1011,Chief Executives,converted_csv/oesm13nat/national_M2013_dl__national_dl.csv,11,11-10,248760,0.6,178400,0.3,75030,110610,171610,,,12.424247875148643,12.091789104493502,0.001876175154933784,246240,180700,12.414066010143083,12.104599010599317,train_through_2022
2014,2015,11-1011,Chief Executives,converted_csv/oesm14nat/national_M2014_dl__national_dl.csv,11,11-10,246240,0.8,180700,0.4,72750,110760,173320,,,12.414066010143083,12.104599010599317,0.0018222703280012587,238940,185850,12.383971938513541,12.13270055639427,train_through_2022
2015,2016,11-1011,Chief Executives,converted_csv/oesm15nat/national_M2015_dl__national_dl.csv,11,11-10,238940,0.7,185850,0.4,68600,111040,175110,,,12.383971938513541,12.13270055639427,0.0017327464495340678,223260,194350,12.316096769641376,12.177421081623448,train_through_2022
2016,2017,11-1011,Chief Executives,converted_csv/oesm16nat/national_M2016_dl__national_dl.csv,11,11-10,223260,0.7,194350,0.4,69780,114100,181210,,,12.316096769641376,12.177421081623448,0.0015901715064713343,210160,196050,12.255629182627507,12.186130108447076,train_through_2022
2017,2018,11-1011,Chief Executives,converted_csv/oesm17nat/national_M2017_dl__national_dl.csv,11,11-10,210160,0.7,196050,0.4,68110,113470,183270,,,12.255629182627507,12.186130108447076,0.0014742990310005464,195530,200140,12.183474213611953,12.206777397134413,train_through_2022
2018,2019,11-1011,Chief Executives,converted_csv/oesm18nat/national_M2018_dl__national_dl.csv,11,11-10,195530,0.7,200140,0.5,68360,115960,189600,,,12.183474213611953,12.206777397134413,0.0013509870227031873,205890,193850,12.235102181521452,12.174845101713574,train_through_2022
2019,2020,11-1011,Chief Executives,converted_csv/oesm19nat/national_M2019_dl__national_M2019_dl.csv,11,11-10,205890,0.8,193850,0.4,62290,112790,184460,,,12.235102181521452,12.174845101713574,0.0014018188580960196,202360,197840,12.217808510081744,12.195218956772091,train_through_2022
2020,2021,11-1011,Chief Executives,converted_csv/oesm20nat/national_M2020_dl__national_M2020_dl.csv,11,11-10,202360,1.0,197840,0.5,62780,114530,185950,,,12.217808510081744,12.195218956772091,0.0014548143059232351,200480,213020,12.208474758146187,12.26914603138103,train_through_2022
2021,2022,11-1011,Chief Executives,converted_csv/oesm21nat/national_M2021_dl__national_M2021_dl.csv,11,11-10,200480,1.6,213020,0.8,60300,111080,179520,,,12.208474758146187,12.26914603138103,0.00142299882095803,199240,246440,12.2022704262471,12.414877892903101,train_through_2022
2022,2023,11-1011,Chief Executives,converted_csv/oesm22nat/national_M2022_dl__national_M2022_dl.csv,11,11-10,199240,0.9,246440,1.6,74920,122480,189520,,,12.2022704262471,12.414877892903101,0.001347265262492227,211230,258900,12.260707600346098,12.464201028227341,holdout_2023_2024
2023,2024,11-1011,Chief Executives,converted_csv/oesm23nat/national_M2023_dl__national_M2023_dl.csv,11,11-10,211230,1.4,258900,0.7,80000,130840,206680,,,12.260707600346098,12.464201028227341,0.0013910147545816791,211850,262930,12.263638476364546,12.479646919323725,holdout_2023_2024
2010,2011,11-1021,General and Operations Managers,converted_csv/oesm10nat/national_M2010_dl__national_dl.csv,11,11-10,1708080,0.3,113100,0.2,47280,65290,94400,142030,,14.350881076093764,11.636036503798104,0.013439167326791566,1805030,114490,14.406088324116874,11.648251496266996,train_through_2022
2011,2012,11-1021,General and Operations Managers,oesm11nat/national_M2011_dl.csv,11,11-10,1805030,0.3,114490,0.2,47580,65980,95150,144050,,14.406088324116874,11.648251496266996,0.014071153640022217,1899460,114850,14.457080719680166,11.65139091508848,train_through_2022
2012,2013,11-1021,General and Operations Managers,converted_csv/oesm12nat/national_M2012_dl__national_dl.csv,11,11-10,1899460,0.3,114850,0.2,46890,65860,95440,145210,,14.457080719680166,11.65139091508848,0.014578957443284397,1973700,116090,14.495421018404684,11.662129645301356,train_through_2022
2013,2014,11-1021,General and Operations Managers,converted_csv/oesm13nat/national_M2013_dl__national_dl.csv,11,11-10,1973700,0.3,116090,0.2,46190,66190,96430,147350,,14.495421018404684,11.662129645301356,0.014885861486142505,2049870,117200,14.533287422305346,11.671645688511857,train_through_2022
2014,2015,11-1021,General and Operations Managers,converted_csv/oesm14nat/national_M2014_dl__national_dl.csv,11,11-10,2049870,0.3,117200,0.2,45130,65610,97270,149660,,14.533287422305346,11.671645688511857,0.015169823250730751,2145140,119460,14.578715842449586,11.690745237254106,train_through_2022
2015,2016,11-1021,General and Operations Managers,converted_csv/oesm15nat/national_M2015_dl__national_dl.csv,11,11-10,2145140,0.3,119460,0.2,44190,64750,97730,152270,,14.578715842449586,11.690745237254106,0.01555613843958111,2188870,122090,14.59889644374977,11.712521947308366,train_through_2022
2016,2017,11-1021,General and Operations Managers,converted_csv/oesm16nat/national_M2016_dl__national_dl.csv,11,11-10,2188870,0.3,122090,0.2,44290,64890,99310,155020,,14.59889644374977,11.712521947308366,0.015590247717324686,2212200,123460,14.609498505488883,11.72368059570449,train_through_2022
2017,2018,11-1021,General and Operations Managers,converted_csv/oesm17nat/national_M2017_dl__national_dl.csv,11,11-10,2212200,0.3,123460,0.2,44510,65590,100410,156580,,14.609498505488883,11.72368059570449,0.015518863324987671,2289770,123880,14.643962370530089,11.727076706382617,train_through_2022
2018,2019,11-1021,General and Operations Managers,converted_csv/oesm18nat/national_M2018_dl__national_dl.csv,11,11-10,2289770,0.3,123880,0.2,44710,65650,100930,157120,,14.643962370530089,11.727076706382617,0.01582084363000602,2400280,123030,14.691096371797789,11.72019163512002,train_through_2022
2019,2020,11-1021,General and Operations Managers,converted_csv/oesm19nat/national_M2019_dl__national_M2019_dl.csv,11,11-10,2400280,0.3,123030,0.2,45050,65660,100780,157430,,14.691096371797789,11.72019163512002,0.01634250215508628,2347420,125740,14.668827836676135,11.741979514824148,train_through_2022
2020,2021,11-1021,General and Operations Managers,converted_csv/oesm20nat/national_M2020_dl__national_M2020_dl.csv,11,11-10,2347420,0.4,125740,0.2,45850,67450,103650,161190,,14.668827836676135,11.741979514824148,0.016876162275204193,2984920,115250,14.909083838796976,11.65486763761084,train_through_2022
2021,2022,11-1021,General and Operations Managers,converted_csv/oesm21nat/national_M2021_dl__national_M2021_dl.csv,11,11-10,2984920,0.5,115250,0.4,43260,60690,97970,151750,,14.909083838796976,11.65486763761084,0.021186839787779542,3376680,122860,15.032403832365121,11.71880891403039,train_through_2022
2022,2023,11-1021,General and Operations Managers,converted_csv/oesm22nat/national_M2022_dl__national_M2022_dl.csv,11,11-10,3376680,0.3,122860,1.1,43470,62070,98100,154560,221270,15.032403832365121,11.71880891403039,0.02283318443360898,3507810,129330,15.070502754169894,11.770130288537443,holdout_2023_2024
2023,2024,11-1021,General and Operations Managers,converted_csv/oesm23nat/national_M2023_dl__national_M2023_dl.csv,11,11-10,3507810,0.4,129330,0.9,46340,65180,101280,160290,232110,15.070502754169894,11.770130288537443,0.02310001167575231,3584420,133120,15.092107512696163,11.799013768046052,holdout_2023_2024
2010,2011,11-1031,Legislators,converted_csv/oesm10nat/national_M2010_dl__national_dl.csv,11,11-10,65710,1.3,38470,1.2,15790,16790,19260,54170,84320,11.093021618159923,10.557659989689753,0.0005170060448242903,62180,38860,11.037804765825014,10.567746456002288,train_through_2022
2011,2012,11-1031,Legislators,oesm11nat/national_M2011_dl.csv,11,11-10,62180,1.3,38860,0.8,16280,17660,19630,56200,85920,11.037804765825014,10.567746456002288,0.0004847256462976136,56760,38590,10.946604749159658,10.560774367644997,train_through_2022
2012,2013,11-1031,Legislators,converted_csv/oesm12nat/national_M2012_dl__national_dl.csv,11,11-10,56760,1.2,38590,1.0,16470,17790,19780,56060,84950,10.946604749159658,10.560774367644997,0.0004356509873757923,55800,39320,10.929547069355774,10.579514006287654,train_through_2022
2013,2014,11-1031,Legislators,converted_csv/oesm13nat/national_M2013_dl__national_dl.csv,11,11-10,55800,1.3,39320,1.0,16620,17950,20620,56060,85460,10.929547069355774,10.579514006287654,0.0004208497091385478,55020,40430,10.915470209522413,10.60735209643727,train_through_2022
2014,2015,11-1031,Legislators,converted_csv/oesm14nat/national_M2014_dl__national_dl.csv,11,11-10,55020,1.3,40430,1.0,16710,18010,20180,59720,87880,10.915470209522413,10.60735209643727,0.0004071690767000863,55820,42530,10.929905421655752,10.657988500785741,train_through_2022
2015,2016,11-1031,Legislators,converted_csv/oesm15nat/national_M2015_dl__national_dl.csv,11,11-10,55820,1.3,42530,1.2,16950,18160,20500,64180,91960,10.929905421655752,10.657988500785741,0.0004047957931405025,53670,44820,10.890628097380375,10.710432058574115,train_through_2022
2016,2017,11-1031,Legislators,converted_csv/oesm16nat/national_M2016_dl__national_dl.csv,11,11-10,53670,1.3,44820,1.1,17230,18560,23470,67670,96500,10.890628097380375,10.710432058574115,0.0003822650933992498,51380,46350,10.847023733300478,10.743998145734295,train_through_2022
2017,2018,11-1031,Legislators,converted_csv/oesm17nat/national_M2017_dl__national_dl.csv,11,11-10,51380,1.3,46350,1.0,17480,18860,25630,70130,97510,10.847023733300478,10.743998145734295,0.0003604372107575565,50330,47620,10.82637646843851,10.771029119400374,train_through_2022
2018,2019,11-1031,Legislators,converted_csv/oesm18nat/national_M2018_dl__national_dl.csv,11,11-10,50330,2.3,47620,1.5,17510,18840,24670,72800,98890,10.82637646843851,10.771029119400374,0.0003477480532534722,52280,49440,10.864388295328752,10.808535318464235,train_through_2022
2019,2020,11-1031,Legislators,converted_csv/oesm19nat/national_M2019_dl__national_M2019_dl.csv,11,11-10,52280,2.2,49440,1.3,17690,19070,29270,75520,100470,10.864388295328752,10.808535318464235,0.0003559526441364802,51290,53560,10.845270577171219,10.888576470280553,train_through_2022
2020,2021,11-1031,Legislators,converted_csv/oesm20nat/national_M2020_dl__national_M2020_dl.csv,11,11-10,51290,2.5,53560,1.6,18120,19790,33200,83780,105100,10.845270577171219,10.888576470280553,0.0003687360434414051,44590,57110,10.70528732392309,10.952752021573898,train_through_2022
2021,2022,11-1031,Legislators,converted_csv/oesm21nat/national_M2021_dl__national_M2021_dl.csv,11,11-10,44590,2.7,57110,1.8,17850,22880,37270,78510,100580,10.70528732392309,10.952752021573898,0.0003164979919519082,42890,71100,10.666417292697274,11.171856680390034,train_through_2022
2022,2023,11-1031,Legislators,converted_csv/oesm22nat/national_M2022_dl__national_M2022_dl.csv,11,11-10,42890,2.1,71100,1.7,20970,28690,48090,94030,149710,10.666417292697274,11.171856680390034,0.00029002312341041767,32460,68140,10.38779464774131,11.129334366775014,holdout_2023_2024
2023,2024,11-1031,Legislators,converted_csv/oesm23nat/national_M2023_dl__national_M2023_dl.csv,11,11-10,32460,1.7,68140,1.3,21010,28810,47290,82200,129510,10.38779464774131,11.129334366775014,0.0002137591200763211,26510,67390,10.185315020186113,11.11826675682705,holdout_2023_2024
2010,2011,11-2011,Advertising and Promotions Managers,converted_csv/oesm10nat/national_M2010_dl__national_dl.csv,11,11-20,32240,2.2,98720,1.2,41480,56820,83890,122570,,10.380994213509263,11.500052968747553,0.0002536642046132266,30710,103350,10.33237617558788,11.545886240921837,train_through_2022
2011,2012,11-2011,Advertising and Promotions Managers,oesm11nat/national_M2011_dl.csv,11,11-20,30710,2.3,103350,1.4,42750,59780,87650,128840,186630,10.33237617558788,11.545886240921837,0.00023940052424895004,28420,107060,10.25488358752045,11.581154044460447,train_through_2022
2012,2013,11-2011,Advertising and Promotions Managers,converted_csv/oesm12nat/national_M2012_dl__national_dl.csv,11,11-20,28420,2.3,107060,1.2,43270,60820,88590,135930,,10.25488358752045,11.581154044460447,0.00021813250636398902,28530,112870,10.258746494416974,11.634000852660579,train_through_2022
2013,2014,11-2011,Advertising and Promotions Managers,converted_csv/oesm13nat/national_M2013_dl__national_dl.csv,11,11-20,28530,2.7,112870,1.5,45140,64370,93880,145250,,10.258746494416974,11.634000852660579,0.0002151763835434188,29340,114700,10.286741134279072,11.650084021475273,train_through_2022
2014,2015,11-2011,Advertising and Promotions Managers,converted_csv/oesm14nat/national_M2014_dl__national_dl.csv,11,11-20,29340,2.8,114700,1.6,45060,65810,96720,148300,,10.286741134279072,11.650084021475273,0.00021712723937441898,29340,113610,10.286741134279072,11.640535611567286,train_through_2022
2015,2016,11-2011,Advertising and Promotions Managers,converted_csv/oesm15nat/national_M2015_dl__national_dl.csv,11,11-20,29340,2.6,113610,1.7,42440,62780,95890,144930,,10.286741134279072,11.640535611567286,0.00021276797869477506,28860,117810,10.270246481762213,11.676836924447922,train_through_2022
2016,2017,11-2011,Advertising and Promotions Managers,converted_csv/oesm16nat/national_M2016_dl__national_dl.csv,11,11-20,28860,2.3,117810,1.5,44950,67000,100810,147640,,10.270246481762213,11.676836924447922,0.00020555562875912705,28100,123880,10.243560441877241,11.727076706382617,train_through_2022
2017,2018,11-2011,Advertising and Promotions Managers,converted_csv/oesm17nat/national_M2017_dl__national_dl.csv,11,11-20,28100,2.6,123880,1.5,48150,71690,106130,155760,,10.243560441877241,11.727076706382617,0.0001971250607685352,25260,133090,10.137016983402756,11.798788383764899,train_through_2022
2018,2019,11-2011,Advertising and Promotions Managers,converted_csv/oesm18nat/national_M2018_dl__national_dl.csv,11,11-20,25260,3.0,133090,1.3,57150,82200,117130,163370,,10.137016983402756,11.798788383764899,0.00017453041575964053,25100,141890,10.130662964963708,11.862814436189542,train_through_2022
2019,2020,11-2011,Advertising and Promotions Managers,converted_csv/oesm19nat/national_M2019_dl__national_M2019_dl.csv,11,11-20,25100,3.0,141890,1.3,61930,86330,125510,175940,,10.130662964963708,11.862814436189542,0.00017089539724226573,22490,147560,10.020870508171171,11.90199692859196,train_through_2022
2020,2021,11-2011,Advertising and Promotions Managers,converted_csv/oesm20nat/national_M2020_dl__national_M2020_dl.csv,11,11-20,22490,3.2,147560,1.4,68940,91910,133460,181800,,10.020870508171171,11.90199692859196,0.00016168597420544356,22520,142860,10.022203486241112,11.869627408544467,train_through_2022
2021,2022,11-2011,Advertising and Promotions Managers,converted_csv/oesm21nat/national_M2021_dl__national_M2021_dl.csv,11,11-20,22520,3.4,142860,1.9,61250,94020,127150,172210,,10.022203486241112,11.869627408544467,0.00015984603675167018,22010,147050,9.999297607382104,11.898534744367042,train_through_2022
2022,2023,11-2011,Advertising and Promotions Managers,converted_csv/oesm22nat/national_M2022_dl__national_M2022_dl.csv,11,11-20,22010,3.1,147050,2.2,60380,85020,127830,172920,,9.999297607382104,11.898534744367042,0.0001488321041329749,20630,152620,9.934550077987947,11.935713003043361,holdout_2023_2024
2023,2024,11-2011,Advertising and Promotions Managers,converted_csv/oesm23nat/national_M2023_dl__national_M2023_dl.csv,11,11-20,20630,2.9,152620,2.7,63580,88810,131870,188530,,9.934550077987947,11.935713003043361,0.00013585491827401429,21100,149270,9.957075711706057,11.913518724874624,holdout_2023_2024
2010,2011,11-2021,Marketing Managers,converted_csv/oesm10nat/national_M2010_dl__national_dl.csv,11,11-20,164590,0.8,122720,0.4,57750,80900,112800,151260,,12.011218887722919,11.717668765198914,0.0012949935309333426,168410,126190,12.034162699322145,11.745551911173763,train_through_2022
2011,2012,11-2021,Marketing Managers,oesm11nat/national_M2011_dl.csv,11,11-20,168410,0.8,126190,0.4,60230,83290,116010,155050,,12.034162699322145,11.745551911173763,0.0013128440992759907,171430,129870,12.051936132269235,11.77429692908219,train_through_2022
2012,2013,11-2021,Marketing Managers,converted_csv/oesm12nat/national_M2012_dl__national_dl.csv,11,11-20,171430,0.8,129870,0.4,62650,85740,119480,160810,,12.051936132269235,11.77429692908219,0.001315779576565047,174010,133700,12.066873794589272,11.803361242493628,train_through_2022
2013,2014,11-2021,Marketing Managers,converted_csv/oesm13nat/national_M2013_dl__national_dl.csv,11,11-20,174010,0.8,133700,0.4,64440,88130,123220,166250,,12.066873794589272,11.803361242493628,0.0013124024710967509,184490,137400,12.125355960785107,11.83065893676428,train_through_2022
2014,2015,11-2021,Marketing Managers,converted_csv/oesm14nat/national_M2014_dl__national_dl.csv,11,11-20,184490,0.9,137400,0.5,65980,90630,127130,171390,,12.125355960785107,11.83065893676428,0.0013652966732169924,192890,140660,12.169880541506782,11.854108019178414,train_through_2022
2015,2016,11-2021,Marketing Managers,converted_csv/oesm15nat/national_M2015_dl__national_dl.csv,11,11-20,192890,1.0,140660,0.6,66090,91520,128750,175060,,12.169880541506782,11.854108019178414,0.0013988007979016755,205900,144140,12.235150749730654,11.878547266153825,train_through_2022
2016,2017,11-2021,Marketing Managers,converted_csv/oesm16nat/national_M2016_dl__national_dl.csv,11,11-20,205900,1.0,144140,0.5,67490,93200,131180,178690,,12.235150749730654,11.878547266153825,0.0014665247387908615,218970,145620,12.296694579938999,11.888762635113697,train_through_2022
2017,2018,11-2021,Marketing Managers,converted_csv/oesm17nat/national_M2017_dl__national_dl.csv,11,11-20,218970,0.8,145620,0.4,68490,94110,132230,180070,,12.296694579938999,11.888762635113697,0.0015361022973838488,240440,147240,12.390230016186207,11.899825979102603,train_through_2022
2018,2019,11-2021,Marketing Managers,converted_csv/oesm18nat/national_M2018_dl__national_dl.csv,11,11-20,240440,0.8,147240,0.4,69840,95770,134290,181780,,12.390230016186207,11.899825979102603,0.0016612863485846385,263680,149200,12.48249531817178,11.913049669142206,train_through_2022
2019,2020,11-2021,Marketing Managers,converted_csv/oesm19nat/national_M2019_dl__national_M2019_dl.csv,11,11-20,263680,0.8,149200,0.3,71010,97710,136850,185320,,12.48249531817178,11.913049669142206,0.0017952867866470371,270200,154470,12.506921405463638,11.94776165543629,train_through_2022
2020,2021,11-2021,Marketing Managers,converted_csv/oesm20nat/national_M2020_dl__national_M2020_dl.csv,11,11-20,270200,1.0,154470,0.4,74620,101690,142170,191760,,12.506921405463638,11.94776165543629,0.0019425322467901667,278690,153440,12.537858920160673,11.94107140730145,train_through_2022
2021,2022,11-2021,Marketing Managers,converted_csv/oesm21nat/national_M2021_dl__national_M2021_dl.csv,11,11-20,278690,1.0,153440,0.5,77680,100010,135030,192520,,12.537858920160673,11.94107140730145,0.0019781301945969343,328570,158280,12.702508227495388,11.972127213397018,train_through_2022
2022,2023,11-2021,Marketing Managers,converted_csv/oesm22nat/national_M2022_dl__national_M2022_dl.csv,11,11-20,328570,1.1,158280,0.6,76790,103060,140040,198530,,12.702508227495388,11.972127213397018,0.0022217975672408703,368940,166410,12.818392018639724,12.022215910953586,holdout_2023_2024
2023,2024,11-2021,Marketing Managers,converted_csv/oesm23nat/national_M2023_dl__national_M2023_dl.csv,11,11-20,368940,1.8,166410,0.3,79600,108000,157620,208000,,12.818392018639724,12.022215910953586,0.002429583788076337,384980,171520,12.860949261402787,12.05246098707146,holdout_2023_2024
2010,2011,11-2022,Sales Managers,converted_csv/oesm10nat/national_M2010_dl__national_dl.csv,11,11-20,319300,0.6,114110,0.3,49960,67570,98530,143770,,12.673889510548893,11.644926937864167,0.002512251257227148,328230,116860,12.701472907778426,11.668740473319804,train_through_2022
2011,2012,11-2022,Sales Managers,oesm11nat/national_M2011_dl.csv,11,11-20,328230,0.6,116860,0.3,51760,69860,101640,146330,,12.701472907778426,11.668740473319804,0.0025587246523683773,344730,119980,12.750519681736513,11.695088675894803,train_through_2022
2012,2013,11-2022,Sales Managers,converted_csv/oesm12nat/national_M2012_dl__national_dl.csv,11,11-20,344730,0.6,119980,0.3,52950,72210,105260,150610,,12.750519681736513,11.695088675894803,0.002645911995737436,352220,123150,12.772014098479678,11.72116652369436,train_through_2022
2013,2014,11-2022,Sales Managers,converted_csv/oesm13nat/national_M2013_dl__national_dl.csv,11,11-20,352220,0.7,123150,0.3,53770,73880,108540,155090,,12.772014098479678,11.72116652369436,0.0026564818020211344,358920,126040,12.790857587544298,11.744362529828948,train_through_2022
2014,2015,11-2022,Sales Managers,converted_csv/oesm14nat/national_M2014_dl__national_dl.csv,11,11-20,358920,0.6,126040,0.3,53620,74470,110660,160520,,12.790857587544298,11.744362529828948,0.0026561454927152848,364750,130400,12.806970207985112,11.778369597156942,train_through_2022
2015,2016,11-2022,Sales Managers,converted_csv/oesm15nat/national_M2015_dl__national_dl.csv,11,11-20,364750,0.6,130400,0.4,54490,76300,113860,164300,,12.806970207985112,11.778369597156942,0.002645096122321718,365230,135090,12.808285309094947,11.813703904408754,train_through_2022
2016,2017,11-2022,Sales Managers,converted_csv/oesm16nat/national_M2016_dl__national_dl.csv,11,11-20,365230,0.6,135090,0.3,55790,79420,117960,168300,,12.808285309094947,11.813703904408754,0.0026013542027614684,371410,137650,12.825064545125045,11.832476775346398,train_through_2022
2017,2018,11-2022,Sales Managers,converted_csv/oesm17nat/national_M2017_dl__national_dl.csv,11,11-20,371410,0.6,137650,0.3,57590,82490,121060,170790,,12.825064545125045,11.832476775346398,0.002605488214236358,379050,140320,12.845426039655353,11.851687934148462,train_through_2022
2018,2019,11-2022,Sales Managers,converted_csv/oesm18nat/national_M2018_dl__national_dl.csv,11,11-20,379050,0.6,140320,0.3,58940,84790,124220,173510,,12.845426039655353,11.851687934148462,0.0026189926402886677,402600,141690,12.905701276039686,11.861403909194458,train_through_2022
2019,2020,11-2022,Sales Managers,converted_csv/oesm19nat/national_M2019_dl__national_M2019_dl.csv,11,11-20,402600,0.6,141690,0.3,59810,85150,126640,177830,,12.905701276039686,11.861403909194458,0.002741134937439689,390170,147580,12.87434038354812,11.902132456575307,train_through_2022
2020,2021,11-2022,Sales Managers,converted_csv/oesm20nat/national_M2020_dl__national_M2020_dl.csv,11,11-20,390170,0.7,147580,0.3,63170,89720,132290,185200,,12.87434038354812,11.902132456575307,0.002805025191451219,453800,142390,13.025414054939377,11.866332073715474,train_through_2022
2021,2022,11-2022,Sales Managers,converted_csv/oesm21nat/national_M2021_dl__national_M2021_dl.csv,11,11-20,453800,1.2,142390,0.4,61090,84450,127490,173010,,13.025414054939377,11.866332073715474,0.003221053795644224,536390,150530,13.19261865172541,11.921924322026532,train_through_2022
2022,2023,11-2022,Sales Managers,converted_csv/oesm22nat/national_M2022_dl__national_M2022_dl.csv,11,11-20,536390,2.8,150530,0.4,61040,87910,130600,180390,,13.19261865172541,11.921924322026532,0.003627080978459173,575880,157610,13.263656321111661,11.967885250924537,holdout_2023_2024
2023,2024,11-2022,Sales Managers,converted_csv/oesm23nat/national_M2023_dl__national_M2023_dl.csv,11,11-20,575880,1.3,157610,0.3,63700,93540,135160,196700,,13.263656321111661,11.967885250924537,0.0037923475683780588,603710,160930,13.310850885589199,11.988730980675047,holdout_2023_2024
2019,2020,11-2030,Public Relations and Fundraising Managers,converted_csv/oesm19nat/national_M2019_dl__national_M2019_dl.csv,11,11-20,79160,1.3,132630,0.6,64790,84780,116180,161230,,11.27923903227946,11.795326115232273,0.0005389673165616636,81110,135580,11.303573865924402,11.817324526676888,train_through_2022
2010,2011,11-2031,Public Relations and Fundraising Managers,converted_csv/oesm10nat/national_M2010_dl__national_dl.csv,11,11-20,53460,1.4,104390,0.8,49720,66930,91810,128470,,10.886707695092223,11.555898743818096,0.00042062308866696945,53200,105690,10.881832472145556,11.56827502159171,train_through_2022
2011,2012,11-2031,Public Relations and Fundraising Managers,oesm11nat/national_M2011_dl.csv,11,11-20,53200,1.3,105690,0.8,50360,68060,93310,130780,176400,10.881832472145556,11.56827502159171,0.00041472184597994604,53520,108260,10.887829379231441,11.592300257330292,train_through_2022
2012,2013,11-2031,Public Relations and Fundraising Managers,converted_csv/oesm12nat/national_M2012_dl__national_dl.csv,11,11-20,53520,1.2,108260,0.7,51630,69520,95450,134690,180480,10.887829379231441,11.592300257330292,0.00041078296061226925,53730,111260,10.891745395126074,11.61963407154503,train_through_2022
2013,2014,11-2031,Public Relations and Fundraising Managers,converted_csv/oesm13nat/national_M2013_dl__national_dl.csv,11,11-20,53730,1.2,111260,0.6,53360,71830,98700,137710,184290,10.891745395126074,11.61963407154503,0.00040523754250921455,56920,115400,10.949419620566681,11.656168298529856,train_through_2022
2014,2015,11-2031,Public Relations and Fundraising Managers,converted_csv/oesm14nat/national_M2014_dl__national_dl.csv,11,11-20,56920,1.2,115400,0.6,55420,73910,101510,143110,,10.949419620566681,11.656168298529856,0.00042122980453960216,60380,119390,11.008429764899107,11.690159100215237,train_through_2022
2015,2016,11-2031,Public Relations and Fundraising Managers,converted_csv/oesm15nat/national_M2015_dl__national_dl.csv,11,11-20,60380,1.2,119390,0.7,56890,76000,104140,147590,,11.008429764899107,11.690159100215237,0.00043786402704807493,63970,123360,11.066185134649654,11.722870295119682,train_through_2022
2016,2017,11-2031,Public Relations and Fundraising Managers,converted_csv/oesm16nat/national_M2016_dl__national_dl.csv,11,11-20,63970,1.1,123360,0.6,59070,78710,107320,151970,205110,11.066185134649654,11.722870295119682,0.0004556269428870879,67300,127690,11.116930374363438,11.757368561854895,train_through_2022
2017,2018,11-2031,Public Relations and Fundraising Managers,converted_csv/oesm17nat/national_M2017_dl__national_dl.csv,11,11-20,67300,1.1,127690,0.6,61130,81510,111280,155830,,11.116930374363438,11.757368561854895,0.0004721180281040007,72460,131570,11.190803765071477,11.787301908847835,train_through_2022
2021,2022,11-2032,Public Relations Managers,converted_csv/oesm21nat/national_M2021_dl__national_M2021_dl.csv,11,11-20,59850,2.2,138000,0.9,66000,94660,125780,164830,,10.999613419284296,11.835016210489899,0.00042481284634047334,64280,150030,11.071019376668836,11.918597218392446,train_through_2022
2022,2023,11-2032,Public Relations Managers,converted_csv/oesm22nat/national_M2022_dl__national_M2022_dl.csv,11,11-20,64280,1.4,150030,0.8,71710,96280,129430,177170,,11.071019376668836,11.918597218392446,0.00043466277390584397,72760,159420,11.194935376352896,11.979303780700919,holdout_2023_2024
2023,2024,11-2032,Public Relations Managers,converted_csv/oesm23nat/national_M2023_dl__national_M2023_dl.csv,11,11-20,72760,3.2,159420,1.0,76160,99180,134760,191840,,11.194935376352896,11.979303780700919,0.0004791470602819816,76060,163520,11.239290928910943,12.00469670143866,holdout_2023_2024
2021,2022,11-2033,Fundraising Managers,converted_csv/oesm21nat/national_M2021_dl__national_M2021_dl.csv,11,11-20,23190,1.8,119400,0.8,60400,77170,100810,150920,204430,10.05151955135521,11.690242855114947,0.00016460166928380246,26240,124450,10.175078352087965,11.73166734311902,train_through_2022
2022,2023,11-2033,Fundraising Managers,converted_csv/oesm22nat/national_M2022_dl__national_M2022_dl.csv,11,11-20,26240,2.7,124450,1.3,63320,80330,107390,155100,205230,10.175078352087965,11.73166734311902,0.00017743545717624994,31810,133620,10.367567420904209,11.802762713361059,holdout_2023_2024
